15
HOMEWORK 1
20
Washington,Bobbi,85
Petrovic,James,84
George,Rahul,64
Gates,Charles,79
Davis,Jack,65
Hatley,Aayush,92
Washington,Monica,89
Targaryen,Aayush,96
Bryant,Angela,70
Chan,Monica,98
James,Benjamin,84
Ketchum,Lebron,86
Jefferson,Angela,68
Jefferson,Cameron,82
Hatley,Samantha,64
Vu,Elsa,96
Parker,Benjamin,93
Petrovic,Phyllis,70
Adams,Henry,73
Lee,Monica,73
EXAM - DIGITAL LOGIC
15
George,Bobbi,83
Anderson,Lebron,94
Franklin,Leia,87
James,Hunter,66
Parker,Tina,98
Adams,David,64
O'neal,Angela,74
Petrovic,Samantha,75
O'neal,David,96
O'neal,Monica,61
Vu,Samantha,99
Davis,Hunter,68
Lee,Samantha,86
Davis,Samantha,77
Gates,Henry,85
MACHINE LEARNING PROJECT PRELIMINARY EVALUATION
16
Galo,Cameron,88
O'reilly,Shaquille,88
Anderson,Benjamin,63
Gates,Elsa,76
Gates,Phyllis,63
Bryant,Hunter,70
Johnson,Tina,70
Vu,Tristan,62
Targaryen,Hunter,89
Vu,Leia,77
Stroud,Phyllis,77
America,Bobbi,100
America,Hunter,67
Hatley,Angela,82
Franklin,Jack,87
Davis,Tina,90
HW2
9
Ketchum,Lebron,28
Ketchum,Rahul,6
O'neal,Angela,12
Hamilton,Phyllis,61
Chan,Shaquille,70
Targaryen,James,97
Bryant,Grady,12
Jefferson,Samantha,36
Bryant,Samantha,15
AUTOMATA THEORY EXAM 2
46
Franklin,Meredith,70
Jefferson,Phyllis,61
Lee,Meredith,31
Hightower,Samantha,83
Hightower,Angela,4
Parker,David,32
Galo,James,26
Stroud,Henry,60
Gates,Charlie,10
Vu,David,63
Franklin,Monica,57
Petrovic,Darrell,86
Davis,Grady,13
Vu,Hunter,16
George,Angela,18
Hightower,Charles,86
Adams,Darrell,84
Stroud,David,61
O'neal,Tristan,76
Skywalker,Leia,40
Hamilton,Angela,49
Vu,Phyllis,65
America,Elsa,16
Galo,Steven,77
Chan,Tina,94
Targaryen,Lebron,88
Targaryen,Tina,52
Skywalker,Tina,47
Anderson,Bobbi,3
Stroud,Charlie,57
Bryant,Grady,21
Johnson,Hunter,42
Armstrong,Jack,22
Ketchum,Shaquille,89
Stroud,Rahul,44
Galo,Leia,23
Targaryen,Aayush,62
Bryant,Darrell,49
Davis,Steven,2
Lee,Elsa,6
Gates,Lebron,81
Gates,Bobbi,50
Galo,Aayush,0
Hatley,Phyllis,41
Skywalker,Grady,99
Lee,Samantha,11
PROBABILITY HOMEWORK 9
32
Hightower,Aayush,72
Ketchum,Benjamin,45
O'neal,Phyllis,11
Chan,Elsa,36
Hightower,Charles,38
Chan,Tristan,44
O'neal,Rahul,27
Hightower,James,3
Hatley,Bobbi,13
Skywalker,Monica,27
Targaryen,Lebron,28
Hightower,Henry,42
Parker,Samantha,61
America,Charles,89
Skywalker,Aayush,28
Petrovic,Henry,17
Armstrong,Samantha,10
Bryant,Jack,93
Chan,Jack,86
America,Henry,31
Jefferson,Charlie,59
Hightower,Benjamin,28
Hatley,Lebron,40
Petrovic,Charlie,73
Hamilton,David,33
Bryant,Benjamin,18
James,Elsa,0
Hamilton,Darrell,59
Parker,Darrell,69
Bryant,Hunter,92
George,Janice,31
Bryant,Phyllis,59
MACHINE LEARNING PROJECT REPORT
10
Jefferson,Shaquille,82
Hatley,Darrell,12
Gates,Angela,91
America,Shaquille,96
Chan,Samantha,7
America,Angela,61
Ketchum,Elsa,49
Davis,Steven,85
Washington,Charles,98
Ketchum,Steven,91
MACHINE LEARNING PROJECT FINAL EVALUATION
9
Stroud,Henry,48
Lee,Charlie,51
Chan,David,20
Hightower,Shaquille,46
George,Charlie,99
Lee,Aayush,61
George,Darrell,98
Anderson,James,24
Parker,Benjamin,20
COMPUTER AND NETWORK SECURITY MIDTERM EXAMINATION
14
Jefferson,Jack,57
Targaryen,Hunter,48
America,Leia,2
Hamilton,Rahul,9
George,Samantha,35
Hatley,Hunter,38
Gates,Samantha,45
Hightower,Tina,24
Galo,Aayush,94
Targaryen,Steven,8
Galo,Benjamin,82
Hatley,Benjamin,56
Targaryen,Charlie,64
Vu,Bobbi,40
SOFTWARE ENGINEERING ASSESSMENT
27
George,Phyllis,10
James,Benjamin,1
Parker,Janice,1
Bryant,Samantha,48
Davis,Jack,99
Skywalker,Aayush,33
George,Benjamin,41
Anderson,James,83
Lee,Leia,28
Adams,Benjamin,93
George,Charlie,51
Adams,Samantha,1
Hightower,Elsa,48
Franklin,Tina,55
O'neal,Samantha,78
Hatley,Steven,22
O'neal,Jack,17
O'reilly,Grady,33
Bryant,Henry,23
Hatley,Leia,58
Hightower,Leia,48
Petrovic,Lebron,4
Lee,Monica,83
O'reilly,Angela,37
O'reilly,Janice,46
Galo,Hunter,38
George,Henry,87
OPERATING SYSTEMS PROJECT CHECKPOINT 2
46
Stroud,Tina,71
Armstrong,Rahul,71
Washington,Tristan,42
Armstrong,Phyllis,72
Petrovic,Phyllis,73
Parker,Rahul,77
Bryant,Samantha,81
Targaryen,Lebron,15
George,Steven,87
O'neal,Lebron,63
Hamilton,Tristan,76
Bryant,Tristan,5
George,Grady,23
O'reilly,Samantha,95
George,Tristan,72
Hatley,Darrell,58
Bryant,Steven,44
Vu,James,25
Skywalker,Grady,33
O'reilly,Cameron,46
O'neal,Charles,66
Bryant,Elsa,60
Franklin,Charles,44
Gates,Lebron,81
Hightower,Aayush,34
Targaryen,Rahul,72
Davis,Elsa,17
Galo,Darrell,5
George,Jack,94
Davis,Jack,25
Vu,Leia,90
Skywalker,Rahul,34
Washington,Meredith,1
Armstrong,Elsa,97
Gates,Cameron,23
America,Steven,4
Adams,Jack,63
Bryant,Charlie,69
Vu,Phyllis,75
Jefferson,Lebron,69
O'reilly,Elsa,96
Vu,Aayush,60
Targaryen,Aayush,20
Armstrong,Benjamin,20
Bryant,James,11
Stroud,Tristan,10
THEATRE PROJECT
39
Lee,Steven,64
Skywalker,Elsa,33
Anderson,Janice,59
Skywalker,Rahul,47
Skywalker,Samantha,7
Hatley,Benjamin,15
Washington,Cameron,62
O'reilly,Tristan,45
Gates,Hunter,79
Washington,Benjamin,54
George,Henry,8
Lee,Bobbi,69
George,Meredith,88
Lee,Hunter,10
Franklin,Charles,83
Galo,Tristan,83
Washington,Charles,91
Hamilton,Charles,53
Targaryen,Darrell,58
Targaryen,Shaquille,0
Adams,Leia,79
Ketchum,David,34
Franklin,Rahul,39
Johnson,Lebron,16
James,Bobbi,88
Chan,Benjamin,26
Stroud,Henry,3
Petrovic,Aayush,56
Washington,Grady,84
Hamilton,Cameron,31
Washington,Samantha,76
Anderson,Tina,95
Gates,Aayush,73
Bryant,Jack,58
Jefferson,Elsa,95
Anderson,Tristan,70
Chan,Steven,59
America,Meredith,59
Bryant,Charlie,29
US GOVERNMENT HOMEWORK 4
29
Armstrong,Charles,64
Lee,Angela,34
O'neal,Cameron,86
Washington,James,0
Ketchum,Janice,29
Skywalker,Rahul,48
Vu,Henry,12
Parker,James,53
Petrovic,Meredith,73
James,Charles,57
Davis,Darrell,71
Petrovic,Bobbi,36
Hamilton,Meredith,27
Vu,Charlie,17
Parker,Elsa,76
Gates,Charlie,53
Targaryen,David,12
Galo,Elsa,31
Galo,Cameron,87
Parker,Aayush,87
Hatley,Cameron,41
Petrovic,Phyllis,32
O'neal,Jack,65
Jefferson,Hunter,6
Lee,Lebron,46
Chan,Benjamin,18
Lee,Steven,64
Johnson,James,33
Parker,Cameron,67
ELECTRICITY AND MAGNETISM EXAM 3
13
Hightower,Phyllis,17
George,Darrell,73
America,Cameron,98
Bryant,Bobbi,54
Johnson,Tristan,90
Washington,Charlie,45
Gates,Grady,53
Petrovic,Benjamin,72
Bryant,Rahul,41
Galo,James,39
O'neal,Darrell,25
Chan,Darrell,27
Armstrong,Janice,27
MACHINE LEARNING FINAL EXAM
45
Johnson,Elsa,11
O'reilly,Leia,84
Ketchum,Samantha,5
Armstrong,Bobbi,52
Bryant,Shaquille,3
Anderson,Phyllis,85
Targaryen,Janice,22
Gates,Bobbi,57
Franklin,Hunter,22
Hatley,Meredith,15
Davis,Monica,2
Washington,Lebron,67
Bryant,Monica,64
Lee,Darrell,10
Armstrong,Janice,38
Gates,Henry,26
Franklin,Phyllis,72
Johnson,Leia,86
James,Henry,64
Armstrong,Meredith,91
James,Cameron,64
Lee,Shaquille,89
Franklin,Leia,52
Adams,Shaquille,96
Jefferson,Shaquille,48
O'neal,Bobbi,99
James,Bobbi,55
Stroud,Charles,84
Anderson,Hunter,29
Petrovic,Aayush,85
Armstrong,Samantha,18
Ketchum,Charlie,85
Gates,David,26
Armstrong,Jack,97
Hightower,Jack,25
O'reilly,Henry,81
Vu,Grady,30
Stroud,Charlie,74
Targaryen,Samantha,99
Hamilton,Janice,77
Jefferson,Bobbi,30
Hatley,Charles,19
Hatley,Henry,90
Hightower,Bobbi,10
Hamilton,Benjamin,77
